               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.036619,            0.019547,                   0,             0.76547,             0.73643,             0.81407,             0.31422,            0.037469,            0.021923,                   0,           0.0048821,           0.0048821,            0.054282
                  39,            0.043612,            0.020276,                   0,             0.93351,             0.76744,             0.92659,              0.5489,            0.033386,            0.021829,                   0,           0.0049979,           0.0049979,            0.053098
                  40,            0.043012,            0.021448,                   0,             0.93077,             0.93795,             0.96158,             0.39952,            0.039197,            0.023161,                   0,            0.005113,            0.005113,            0.051913
                  41,            0.042125,             0.01999,                   0,             0.96609,             0.88337,             0.96253,             0.43132,             0.03707,            0.021091,                   0,           0.0052274,           0.0052274,            0.050727
                  42,            0.039219,            0.020234,                   0,             0.96635,             0.89038,             0.96299,             0.64376,            0.035728,            0.021024,                   0,            0.005341,            0.005341,            0.049541
                  43,            0.040116,             0.02127,                   0,             0.97353,             0.88372,             0.95039,             0.53711,            0.035366,            0.020793,                   0,           0.0054539,           0.0054539,            0.048354
                  44,            0.039028,            0.020743,                   0,             0.99171,             0.96124,             0.98944,             0.61557,            0.029548,            0.020889,                   0,           0.0055659,           0.0055659,            0.047166
                  45,            0.039042,            0.019026,                   0,             0.74964,             0.88203,             0.85249,              0.5473,            0.030004,            0.020705,                   0,           0.0056772,           0.0056772,            0.045977
                  46,            0.036066,            0.018284,                   0,             0.99167,             0.92247,             0.98475,             0.66584,             0.02941,            0.020843,                   0,           0.0057876,           0.0057876,            0.044788
                  47,            0.037862,             0.02012,                   0,             0.95865,             0.89851,             0.97247,             0.58169,            0.031674,            0.021144,                   0,           0.0058972,           0.0058972,            0.043597
                  48,            0.037896,            0.018932,                   0,             0.95835,             0.89922,             0.96781,             0.62107,             0.03316,            0.022372,                   0,            0.006006,            0.006006,            0.042406
                  49,             0.03692,            0.020133,                   0,             0.99204,             0.96899,             0.99352,             0.60844,            0.033703,            0.020744,                   0,           0.0061139,           0.0061139,            0.041214
                  50,            0.035758,            0.019096,                   0,             0.99999,             0.96124,             0.99302,             0.56303,            0.032683,            0.021251,                   0,           0.0062209,           0.0062209,            0.040021
                  51,            0.037203,            0.019859,                   0,               0.984,              0.9533,             0.99087,             0.62088,            0.028675,            0.020502,                   0,            0.006327,            0.006327,            0.038827
                  52,            0.034175,            0.017654,                   0,             0.96992,             0.99971,             0.99385,             0.61051,            0.029145,            0.020821,                   0,           0.0064322,           0.0064322,            0.037632
                  53,            0.035222,            0.018446,                   0,             0.99212,              0.9845,             0.99433,             0.48335,            0.033207,             0.02083,                   0,           0.0065365,           0.0065365,            0.036436
                  54,             0.03565,            0.019419,                   0,             0.97692,             0.98446,             0.98733,             0.57204,            0.029234,            0.020963,                   0,           0.0066398,           0.0066398,             0.03524
                  55,            0.032379,            0.017843,                   0,             0.96898,             0.96899,             0.99001,              0.6595,             0.02906,             0.02045,                   0,           0.0067422,           0.0067422,            0.034042
                  56,            0.032893,            0.018001,                   0,              0.9845,             0.98448,             0.99423,             0.62605,            0.031704,            0.020219,                   0,           0.0068436,           0.0068436,            0.032844
                  57,            0.035868,            0.018865,                   0,             0.98448,              0.9845,             0.99439,             0.65483,            0.028018,            0.020436,                   0,           0.0069441,           0.0069441,            0.031644
                  58,            0.030717,            0.017088,                   0,              0.9846,             0.99225,             0.99446,             0.67451,             0.02594,             0.02093,                   0,           0.0070435,           0.0070435,            0.030444
                  59,            0.030883,            0.016685,                   0,             0.95556,                   1,             0.99128,             0.67707,             0.02607,            0.021212,                   0,           0.0071419,           0.0071419,            0.029242
                  60,            0.030982,            0.017389,                   0,             0.97724,                   1,             0.99432,             0.68248,            0.025672,            0.020258,                   0,           0.0072393,           0.0072393,            0.028039
                  61,            0.028943,             0.01681,                   0,             0.99187,             0.96899,             0.99371,             0.70736,            0.024845,            0.020183,                   0,           0.0073357,           0.0073357,            0.026836
                  62,            0.031606,            0.016844,                   0,             0.97692,             0.98449,             0.99127,             0.70174,            0.025601,            0.020333,                   0,            0.007431,            0.007431,            0.025631
                  63,            0.029301,            0.018854,                   0,             0.97972,             0.86822,             0.96285,             0.55782,            0.028102,            0.021023,                   0,           0.0075253,           0.0075253,            0.024425
                  64,            0.036345,            0.020645,                   0,             0.99155,             0.93023,             0.99091,             0.46745,            0.031752,            0.020951,                   0,           0.0076185,           0.0076185,            0.023218
                  65,            0.037302,            0.020753,                   0,             0.97692,             0.98445,             0.99357,             0.69209,            0.027464,             0.02064,                   0,           0.0077106,           0.0077106,            0.022011
                  66,            0.034174,            0.017703,                   0,              0.9621,              0.9845,             0.99204,             0.63051,            0.028557,            0.020638,                   0,           0.0078016,           0.0078016,            0.020802
                  67,            0.034795,            0.016778,                   0,              0.9681,             0.96124,             0.97432,             0.44042,            0.041401,            0.021419,                   0,           0.0078914,           0.0078914,            0.019591
                  68,            0.038836,            0.018354,                   0,             0.95489,             0.98449,             0.99155,             0.66543,            0.027717,            0.020478,                   0,           0.0079802,           0.0079802,             0.01838
                  69,            0.030883,            0.016876,                   0,             0.96146,             0.97674,             0.98847,             0.64931,            0.025398,            0.021095,                   0,           0.0080678,           0.0080678,            0.017168
                  70,            0.031309,            0.016308,                   0,              0.9699,                   1,             0.99235,             0.69054,            0.029102,             0.02111,                   0,           0.0081543,           0.0081543,            0.015954
                  71,            0.029161,            0.017727,                   0,             0.95374,             0.96899,             0.99108,             0.69928,            0.027465,            0.020666,                   0,           0.0082396,           0.0082396,             0.01474
                  72,            0.028858,            0.017449,                   0,             0.97683,              0.9845,             0.99389,             0.66312,             0.02648,            0.021087,                   0,           0.0083238,           0.0083238,            0.013524
                  73,            0.031842,            0.020068,                   0,              0.8988,             0.89922,             0.95667,             0.49315,            0.030495,            0.020652,                   0,           0.0084068,           0.0084068,            0.012307
                  74,            0.031719,            0.018532,                   0,             0.97674,             0.97652,             0.99207,             0.65048,            0.022944,            0.019791,                   0,           0.0084885,           0.0084885,            0.011089
                  75,            0.027906,            0.016912,                   0,                   1,             0.96112,             0.99155,              0.6762,            0.027669,            0.019901,                   0,           0.0085691,           0.0085691,           0.0098691
                  76,            0.029054,            0.017091,                   0,             0.99208,             0.97674,             0.99221,             0.72433,            0.026177,            0.020575,                   0,           0.0086485,           0.0086485,           0.0086485
                  77,            0.029932,            0.017047,                   0,             0.98449,             0.98439,             0.99319,             0.69747,            0.025925,            0.020806,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,            0.033128,            0.018934,                   0,              0.9612,             0.96124,             0.97888,             0.62136,            0.026946,            0.021527,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,            0.029671,            0.017688,                   0,                   1,             0.96897,             0.99376,             0.69583,            0.025289,            0.020082,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,            0.027816,            0.016614,                   0,             0.98425,             0.96897,             0.99176,             0.70833,             0.02269,            0.019955,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,            0.025305,            0.015963,                   0,             0.99992,             0.97674,             0.99426,             0.74242,            0.022043,            0.019494,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,            0.025934,            0.016483,                   0,             0.99989,             0.97674,             0.99405,             0.72337,            0.022951,            0.019065,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,            0.024788,            0.016258,                   0,             0.99212,             0.97674,             0.99396,             0.66825,            0.023779,            0.019845,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,            0.023781,            0.016563,                   0,                   1,             0.97671,             0.99462,             0.72555,            0.022481,            0.019836,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,            0.025277,            0.016025,                   0,             0.98435,             0.97674,             0.99363,             0.73143,             0.02175,             0.01959,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,            0.026128,            0.016213,                   0,             0.98437,              0.9767,             0.99355,             0.72172,            0.023245,             0.02007,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,            0.026775,            0.017817,                   0,             0.97655,             0.96899,             0.99255,             0.66995,             0.02626,            0.020268,                   0,           0.0082952,           0.0082952,           0.0082952
                  88,            0.025136,            0.017067,                   0,             0.99213,             0.97673,             0.99395,             0.70031,            0.024557,            0.020589,                   0,           0.0082581,           0.0082581,           0.0082581
                  89,            0.023848,            0.015271,                   0,             0.99998,             0.97674,             0.99447,             0.68737,            0.022363,            0.019789,                   0,           0.0082207,           0.0082207,           0.0082207
                  90,            0.026689,            0.014749,                   0,             0.98449,              0.9845,             0.99431,             0.67179,            0.026193,            0.020589,                   0,            0.008183,            0.008183,            0.008183
